x px
-0.0196925335 -0.0306444887
-0.0395332490 0.0237918950
0.0570315727 0.0079932844
-0.0060242937 -0.0326585609
-0.0490401370 0.0184054929
0.0505809627 0.0158719718
0.0074714780 -0.0325570889
-0.0559278916 0.0121329508
0.0406903114 0.0228575307
0.0203679541 -0.0304683765
-0.0594131499 0.0050156630
0.0283980281 0.0282137248
0.0323638058 -0.0268052813
-0.0591993427 -0.0027505650
0.0149578681 0.0315819452
0.0430733814 -0.0220209316
-0.0552148579 -0.0107798211
0.0012885190 0.0328620294
0.0517801995 -0.0163255012
-0.0474931203 -0.0184430138
-0.0120380620 0.0320407654
0.0575492327 -0.0097496787
-0.0366221847 -0.0249288455
-0.0246543523 0.0293475893
0.0597643434 -0.0023727691
-0.0238009088 -0.0296163395
-0.0362600892 0.0252527602
0.0582456811 0.0055374408
-0.0101988081 -0.0322680220
-0.0463746206 0.0201415025
0.0529412457 0.0135243816
0.0034039188 -0.0328099190
-0.0541605979 0.0141394648
0.0440191745 0.0208711562
0.0165181940 -0.0312957142
-0.0587370970 0.0072674204
0.0323210708 0.0267815675
0.0288204779 -0.0280584892
-0.0596612649 -0.0003331847
0.0191141319 0.0307729743
0.0399802313 -0.0235801431
-0.0568340026 -0.0083368456
0.0054415946 0.0326964790
0.0493939854 -0.0181562508
-0.0502245528 -0.0161941425
-0.0080358873 0.0325066921
0.0561488060 -0.0118467479
-0.0402051350 -0.0231217403
-0.0209002945 0.0303409380
0.0594818982 -0.0046941873
-0.0278400231 -0.0283981248
-0.0328509540 0.0266215841
0.0591068545 0.0030909083
-0.0143752463 -0.0316809611
-0.0434919513 0.0217961994
0.0549598285 0.0111186990
-0.0007102296 -0.0328689981
-0.0520908994 0.0160640290
0.0470867544 0.0187490127
0.0125927441 -0.0319617259
-0.0577188393 0.0094501234
0.0361061872 0.0251685169
0.0251724342 -0.0291981468
-0.0597746724 0.0020453994
0.0232299499 0.0297713330
0.0367261655 -0.0250539487
-0.0580989702 -0.0058825476
0.0096144087 0.0323333396
0.0467596160 -0.0199044697
-0.0526331755 -0.0138587443
-0.0039756859 0.0327863571
0.0544256903 -0.0138643093
-0.0435691981 -0.0211582787
-0.0170615317 0.0311897391
0.0588539841 -0.0069551111
-0.0317802096 -0.0269931052
-0.0293220271 0.0278898376
0.0596173299 0.0006687499
-0.0185354503 -0.0308990418
-0.0404216600 0.0233677110
0.0876029130 -0.0350686287
-0.0634143234 -0.0368812746
-0.0524181810 0.0495904292
0.0986359482 0.0053175372
0.0202151096 -0.0601297730
-0.1067044671 0.0175560671
0.0108799377 0.0586850038
0.0930463947 -0.0322814319
-0.0536577390 -0.0423670111
-0.0597445126 0.0464877705
0.0938425786 0.0114377472
0.0261887774 -0.0588769819
-0.1068363053 0.0138803732
0.0040902180 0.0599755178
0.0974657192 -0.0295820463
-0.0442133320 -0.0469968278
-0.0670588763 0.0435008536
0.0880204636 0.0177768794
0.0323043651 -0.0572238734
-0.1062542276 0.0098481562
-0.0023573540 0.0608107636
0.1011627171 -0.0268135044
-0.0348738602 -0.0510397471
-0.0745543817 0.0405431044
0.0807347177 0.0245049953
0.0389103832 -0.0550386451
-0.1047309088 0.0051858814
-0.0087218183 0.0611449592
0.1040737098 -0.0238220844
-0.0257273458 -0.0544778571
-0.0819441434 0.0375678755
0.0718110208 0.0314003707
0.0460793909 -0.0522544080
-0.1019693688 -0.0002427993
-0.0149896759 0.0608529913
0.1059383370 -0.0205486601
-0.0173041235 -0.0570981455
-0.0884597613 0.0346600775
0.0620009527 0.0377286892
0.0534735735 -0.0491406016
-0.0980062833 -0.0061842145
-0.0210746832 0.0599753372
0.1067691745 -0.0170428830
-0.0098707927 -0.0589019092
-0.0937327216 0.0318923483
0.0522904088 0.0430743098
0.0607848409 -0.0460544424
-0.0930802062 -0.0123270914
-0.0270465000 0.0586669879
0.1067989616 -0.0133309663
-0.0031559670 -0.0601208731
-0.0980350307 0.0291948935
0.0428749085 0.0476076168
0.0681207154 -0.0430778894
-0.0870792679 -0.0187141121
-0.0332130942 0.0569477909
0.1061014169 -0.0092268704
0.0032710353 -0.0608936049
-0.1016322338 0.0264028975
0.0335435087 0.0515735453
0.0756345941 -0.0401173320
-0.0795513808 -0.0254949772
-0.0399052188 0.0546745005
0.1044160558 -0.0044543021
0.0096270289 -0.0611435728
-0.1044104709 0.0233695722
0.0244651960 0.0549068509
0.0829464572 -0.0371453571
-0.0704336361 -0.0323573899
-0.0471349756 0.0518192354
