q p curve
1.212088 0.912088 1
0.130416 0.759597 1
5.473523 1.275571 1
3.903365 1.839384 1
1.745560 1.130902 1
0.404522 0.718673 1
5.761066 1.059750 1
4.354324 1.818965 1
2.214545 1.327442 1
0.714457 0.781167 1
6.065714 0.874857 1
4.895964 1.616883 1
2.755791 1.529031 1
0.984419 0.846527 1
0.001722 0.802841 1
5.304057 1.384745 1
3.539714 1.776574 1
1.396702 0.981646 1
0.222102 0.733517 1
5.573585 1.203424 1
4.076364 1.847309 1
1.937241 1.213761 1
0.527807 0.736713 1
5.884250 0.970764 1
4.547071 1.767924 1
2.388432 1.393988 1
0.814228 0.806052 1
6.156734 0.842869 1
5.078840 1.516317 1
3.045786 1.631091 1
1.111156 0.880266 1
0.077165 0.777586 1
5.409519 1.318712 1
3.776330 1.823522 1
1.610586 1.072175 1
0.329137 0.717674 1
5.683909 1.119024 1
4.241643 1.836877 1
2.107421 1.284625 1
0.644262 0.763335 1
5.997881 0.904709 1
4.758074 1.684680 1
2.593987 1.470147 1
0.913900 0.829806 1
6.236535 0.818295 1
5.225865 1.431376 1
3.358374 1.729150 1
1.272447 0.933415 1
0.160903 0.750022 1
5.507874 1.251437 1
3.966170 1.844268 1
1.815289 1.161247 1
0.447338 0.723119 1
5.804383 1.027222 1
4.419147 1.804615 1
2.273367 1.350296 1
0.750194 0.790213 1
6.099301 0.862201 1
4.964443 1.580254 1
2.851834 1.563518 1
1.025690 0.856876 1
0.027717 0.794312 1
5.342678 1.361138 1
3.629046 1.796575 1
1.470489 1.012192 1
0.258216 0.726022 1
5.611070 1.175082 1
4.134233 1.845766 1
1.998767 1.239755 1
0.569900 0.745652 1
5.925419 0.944527 1
4.619423 1.742465 1
2.455648 1.419110 1
0.848719 0.814416 1
6.185908 0.833826 1
5.134794 1.484307 1
3.157589 1.668073 1
1.163876 0.896277 1
0.105458 0.767912 1
5.444315 1.295570 1
3.847139 1.833302 1
1.684589 1.104338 1
0.369336 0.717010 1
5.725140 1.087234 1
4.301690 1.828447 1
2.165417 1.308001 1
0.682963 0.773128 1
6.035475 0.887370 1
4.834099 1.648420 1
2.678968 1.501173 1
0.951313 0.838578 1
6.262904 0.809950 1
5.269548 1.405492 1
3.459349 1.756598 1
1.337755 0.958150 1
0.193246 0.740783 1
5.543056 1.226029 1
4.026760 1.846871 1
1.882860 1.190476 1
0.491231 0.729849 1
5.848188 0.995511 1
4.487543 1.786347 1
2.334612 1.373682 1
0.785133 0.798906 1
6.131113 0.851183 1
5.028358 1.544845 1
2.954503 1.599727 1
1.070328 0.868730 1
0.054206 0.785428 1
5.379542 1.338041 1
3.711901 1.812751 1
1.546699 1.044605 1
0.296172 0.720422 1
5.650077 1.145139 1
4.192188 1.841946 1
2.058176 1.264453 1
0.610683 0.755105 1
5.965161 0.921624 1
4.693839 1.712869 1
2.527871 1.445851 1
0.883602 0.822709 1
6.213776 0.825324 1
5.186034 1.454670 1
3.268331 1.702726 1
1.220883 0.915093 1
0.134903 0.758142 1
5.478661 1.272002 1
3.912981 1.840267 1
1.756148 1.135515 1
0.410845 0.719174 1
5.767495 1.054871 1
4.363824 1.817046 1
2.223262 1.330857 1
0.719893 0.782551 1
6.070881 0.872832 1
4.906536 1.611335 1
2.769790 1.534085 1
0.990428 0.848001 1
0.005602 0.801578 1
5.309970 1.381161 1
3.553470 1.779812 1
1.407484 0.986041 1
0.227368 0.732306 1
5.579091 1.199297 1
4.085051 1.847221 1
1.946620 1.217750 1
0.534191 0.738005 1
5.890512 0.966624 1
4.557763 1.764372 1
2.398221 1.397662 1
0.819377 0.807309 1
6.161178 0.841468 1
5.087484 1.511395 1
3.062350 1.636679 1
1.118743 0.882490 1
0.081320 0.776161 1
5.414766 1.315272 1
3.787288 1.825182 1
