q p orbit
3.218596 2.283417 1
0.922070 1.753244 1
5.430894 2.237625 1
3.151879 2.255860 1
0.865180 1.747312 1
5.371679 2.264399 1
3.073369 2.234255 1
0.825776 1.757027 1
5.348014 2.287412 1
3.072838 2.243654 1
0.848328 1.770366 1
5.387219 2.280910 1
3.150707 2.273290 1
0.907495 1.772607 1
5.444131 2.251852 1
3.218172 2.288982 1
0.935704 1.761464 1
5.453963 2.233534 1
3.198321 2.273323 1
0.900431 1.748826 1
5.405706 2.247113 1
3.113564 2.243865 1
0.842348 1.749887 1
5.353973 2.276703 1
3.060926 2.234182 1
0.827597 1.763298 1
5.358216 2.288721 1
3.100323 2.255664 1
0.872784 1.773165 1
5.413553 2.269626 1
3.186807 2.283473 1
0.926801 1.769086 1
5.456466 2.240771 1
3.221707 2.285870 1
0.927610 1.755238 1
5.438461 2.235490 1
3.165187 2.260484 1
0.874295 1.747144 1
5.379803 2.259756 1
3.081625 2.235777 1
0.828088 1.754915 1
5.347347 2.285529 1
3.066658 2.240280 1
0.841243 1.768829 1
5.378529 2.283901 1
3.137131 2.268924 1
0.899012 1.773242 1
5.437403 2.256386 1
3.212697 2.288612 1
0.935577 1.763632 1
5.456784 2.234363 1
3.207187 2.277299 1
0.908804 1.750109 1
5.414912 2.243299 1
3.126684 2.247748 1
0.849592 1.748655 1
5.359071 2.272666 1
3.063271 2.233475 1
0.825537 1.761118 1
5.353318 2.288970 1
3.089265 2.251163 1
0.863718 1.772478 1
5.404312 2.273946 1
3.174949 2.280389 1
0.921059 1.770583 1
5.453430 2.244230 1
3.222568 2.287643 1
0.931816 1.757367 1
5.445025 2.234085 1
3.177825 2.265120 1
0.883589 1.747375 1
5.388572 2.255146 1
3.091575 2.238021 1
0.831857 1.752948 1
5.348251 2.282976 1
3.062580 2.237502 1
0.835258 1.767056 1
5.370521 2.286251 1
3.123682 2.264334 1
0.890008 1.773537 1
5.429700 2.261055 1
3.205227 2.287482 1
0.933888 1.765699 1
5.458102 2.235955 1
3.214204 2.280825 1
0.916378 1.751691 1
5.423769 2.239988 1
3.140227 2.252006 1
0.857706 1.747770 1
5.365405 2.268305 1
3.067816 2.233558 1
0.825005 1.758905 1
5.349821 2.288453 1
3.079678 2.246947 1
0.855128 1.771469 1
5.395022 2.277899 1
3.162150 2.276760 1
0.914167 1.771804 1
5.448979 2.248173 1
3.221159 2.288688 1
0.934566 1.759568 1
5.450406 2.233450 1
3.189436 2.269639 1
0.892800 1.747997 1
5.397736 2.250698 1
3.102940 2.240921 1
0.836982 1.751188 1
5.350699 2.279822 1
3.060718 2.235400 1
0.830538 1.765094 1
5.363422 2.287899 1
3.110737 2.259650 1
0.880739 1.773485 1
5.421235 2.265725 1
3.195969 2.285618 1
0.930684 1.767609 1
5.457879 2.238267 1
3.219177 2.283807 1
0.922938 1.753519 1
5.432030 2.237277 1
3.153809 2.256516 1
0.866463 1.747264 1
5.372792 2.263738 1
3.074437 2.234426 1
0.826015 1.756718 1
5.347822 2.287186 1
3.071831 2.243138 1
0.847255 1.770162 1
5.385944 2.281374 1
3.148772 2.272685 1
0.906323 1.772718 1
5.443236 2.252487 1
3.217517 2.288976 1
0.935783 1.761778 1
5.454456 2.233605 1
3.199693 2.273915 1
0.901668 1.748990 1
5.407034 2.246540 1
3.115400 2.244393 1
0.843323 1.749691 1
5.354621 2.276150 1
3.061124 2.234033 1
0.827210 1.762991 1
5.357434 2.288804 1
3.098663 2.255007 1
0.871468 1.773087 1
5.412245 2.270262 1
3.185182 2.283069 1
0.926057 1.769316 1
5.456122 2.241232 1
3.221969 2.286166 1
0.928297 1.755535 1
5.439465 2.235243 1
3.167044 2.261150 1
0.875619 1.747152 1
5.381024 2.259092 1
3.082951 2.236055 1
0.828539 1.754623 1
5.347380 2.285204 1
3.065943 2.239844 1
0.840315 1.768588 1
5.377337 2.284278 1
3.135191 2.268278 1
0.897750 1.773305 1
5.436356 2.257048 1
3.211747 2.288497 1
0.935431 1.763935 1
5.457066 2.234544 1
3.208309 2.277833 1
0.909941 1.750318 1
5.416205 2.242792 1
3.128604 2.248337 1
0.850705 1.748507 1
5.359905 2.272060 1
3.063788 2.233439 1
0.825366 1.760803 1
5.352729 2.288943 1
3.087797 2.250540 1
0.862454 1.772353 1
5.402981 2.274536 1
3.173168 2.279901 1
0.920139 1.770776 1
5.452877 2.244767 1
3.222506 2.287838 1
0.932300 1.757679 1
5.445871 2.233946 1
3.179557 2.265777 1
0.884917 1.747440 1
5.389864 2.254497 1
3.093121 2.238397 1
0.832510 1.752683 1
5.348508 2.282560 1
3.062176 2.237159 1
0.834502 1.766786 1
5.369445 2.286531 1
3.121791 2.263666 1
0.888693 1.773551 1
5.428531 2.261726 1
3.204007 2.287259 1
0.933521 1.765983 1
5.458164 2.236243 1
3.215044 2.281287 1
0.917383 1.751938 1
5.424992 2.239562 1
3.142176 2.252638 1
0.858924 1.747674 1
5.366401 2.267661 1
3.068639 2.233634 1
0.825055 1.758589 1
5.349441 2.288317 1
3.078444 2.246375 1
0.853953 1.771300 1
5.393704 2.278427 1
3.160264 2.276202 1
0.913099 1.771954 1
5.448234 2.248770 1
3.220773 2.288776 1
0.934835 1.759885 1
5.451070 2.233424 1
3.190993 2.270268 1
0.894095 1.748117 1
5.399063 2.250083 1
3.104663 2.241385 1
0.837818 1.750957 1
5.351171 2.279326 1
3.060636 2.235158 1
0.829974 1.764800 1
5.362493 2.288075 1
3.108949 2.258980 1
0.879407 1.773449 1
5.419976 2.266385 1
3.194513 2.285294 1
0.930107 1.767867 1
5.457721 2.238653 1
3.219712 2.284185 1
0.923782 1.753797 1
5.433149 2.236943 1
3.155732 2.257174 1
0.867754 1.747223 1
5.373923 2.263075 1
3.075543 2.234613 1
0.826284 1.756412 1
5.347663 2.286945 1
3.070865 2.242633 1
0.846200 1.769953 1
5.384678 2.281827 1
3.146833 2.272072 1
0.905136 1.772823 1
5.442317 2.253127 1
3.216819 2.288955 1
0.935829 1.762091 1
5.454920 2.233691 1
3.201032 2.274500 1
0.902894 1.749160 1
5.408360 2.245977 1
3.117251 2.244931 1
0.844319 1.749502 1
5.355296 2.275588 1
3.061368 2.233900 1
0.826854 1.762682 1
5.356679 2.288871 1
3.097027 2.254354 1
0.870157 1.773002 1
5.410930 2.270892 1
3.183531 2.282652 1
0.925286 1.769540 1
5.455747 2.241705 1
3.222185 2.286449 1
0.928956 1.755836 1
5.440449 2.235011 1
3.168886 2.261815 1
0.876946 1.747169 1
5.382256 2.258428 1
3.084310 2.236348 1
0.829021 1.754335 1
5.347446 2.284865 1
3.065271 2.239421 1
0.839411 1.768344 1
5.376159 2.284642 1
3.133255 2.267628 1
0.896479 1.773361 1
5.435290 2.257713 1
3.210756 2.288366 1
0.935252 1.764236 1
5.457317 2.234742 1
3.209393 2.278358 1
0.911062 1.750533 1
5.417492 2.242296 1
3.130531 2.248933 1
0.851834 1.748365 1
5.360764 2.271447 1
3.064351 2.233418 1
0.825227 1.760486 1
5.352170 2.288900 1
3.086360 2.249922 1
0.861201 1.772221 1
5.401649 2.275119 1
3.171368 2.279403 1
0.919197 1.770962 1
5.452296 2.245313 1
3.222397 2.288018 1
0.932755 1.757992 1
5.446692 2.233823 1
3.181266 2.266430 1
0.886243 1.747513 1
5.391164 2.253851 1
3.094695 2.238787 1
0.833190 1.752421 1
5.348796 2.282132 1
3.061818 2.236829 1
0.833773 1.766512 1
5.368388 2.286796 1
3.119911 2.262998 1
0.887373 1.773557 1
5.427346 2.262396 1
3.202751 2.287022 1
0.933123 1.766263 1
5.458196 2.236545 1
3.215842 2.281738 1
0.918367 1.752191 1
5.426203 2.239148 1
3.144125 2.253276 1
0.860155 1.747586 1
5.367419 2.267014 1
3.069505 2.233727 1
0.825136 1.758274 1
5.349093 2.288166 1
3.077246 2.245811 1
0.852793 1.771125 1
5.392392 2.278946 1
3.158366 2.275635 1
0.912011 1.772098 1
5.447462 2.249374 1
3.220342 2.288849 1
0.935073 1.760202 1
5.451706 2.233413 1
3.192522 2.270892 1
0.895383 1.748244 1
5.400393 2.249474 1
3.106407 2.241860 1
0.838679 1.750731 1
5.351674 2.278820 1
3.060602 2.234932 1
0.829439 1.764504 1
5.361588 2.288235 1
3.107179 2.258312 1
0.878076 1.773406 1
5.418706 2.267042 1
3.193027 2.284956 1
0.929501 1.768120 1
5.457532 2.239052 1
3.220203 2.284549 1
0.924601 1.754079 1
5.434250 2.236623 1
3.157647 2.257834 1
0.869052 1.747191 1
5.375070 2.262411 1
3.076688 2.234816 1
0.826584 1.756107 1
5.347536 2.286690 1
3.069939 2.242139 1
0.845165 1.769738 1
5.383423 2.282267 1
3.144891 2.271453 1
0.903935 1.772920 1
5.441376 2.253772 1
3.216078 2.288918 1
0.935842 1.762403 1
5.455354 2.233794 1
3.202337 2.275077 1
0.904106 1.749337 1
5.409682 2.245421 1
3.119117 2.245478 1
0.845336 1.749319 1
5.355999 2.275018 1
3.061657 2.233783 1
0.826528 1.762371 1
5.355951 2.288922 1
3.095417 2.253706 1
0.868852 1.772911 1
5.409611 2.271517 1
3.181857 2.282223 1
0.924489 1.769760 1
5.455342 2.242189 1
3.222355 2.286717 1
0.929586 1.756138 1
5.441411 2.234795 1
3.170713 2.262479 1
0.878275 1.747194 1
5.383501 2.257766 1
3.085702 2.236655 1
0.829531 1.754050 1
5.347543 2.284512 1
3.064643 2.239010 1
0.838530 1.768094 1
5.374996 2.284992 1
3.131323 2.266975 1
0.895198 1.773411 1
5.434205 2.258380 1
3.209725 2.288219 1
0.935042 1.764535 1
5.457537 2.234955 1
3.210437 2.278873 1
0.912165 1.750754 1
5.418769 2.241811 1
3.132465 2.249536 1
0.852980 1.748231 1
5.361647 2.270828 1
3.064957 2.233414 1
0.825119 1.760169 1
5.351639 2.288842 1
3.084955 2.249312 1
0.859960 1.772083 1
5.400317 2.275693 1
3.169552 2.278893 1
0.918232 1.771143 1
5.451687 2.245869 1
3.222241 2.288182 1
0.933179 1.758306 1
5.447488 2.233716 1
3.182953 2.267081 1
0.887566 1.747595 1
5.392470 2.253210 1
3.096296 2.239189 1
0.833897 1.752165 1
5.349115 2.281692 1
3.061505 2.236514 1
0.833070 1.766235 1
5.367351 2.287047 1
3.118044 2.262328 1
0.886049 1.773557 1
5.426148 2.263066 1
3.201460 2.286770 1
0.932694 1.766541 1
5.458195 2.236862 1
3.216597 2.282176 1
0.919329 1.752448 1
5.427400 2.238746 1
3.146072 2.253917 1
0.861398 1.747505 1
5.368457 2.266363 1
3.070412 2.233835 1
0.825250 1.757960 1
5.348775 2.288000 1
3.076085 2.245257 1
0.851649 1.770943 1
5.391086 2.279454 1
