q p orbit
1.921999 1.901999 1
0.068879 1.885454 1
4.610963 2.528465 1
2.469500 2.110975 1
0.900893 1.897215 1
5.865947 2.147635 1
4.166310 2.530305 1
1.803540 1.884849 1
6.258547 1.904446 1
4.388610 2.509578 1
1.904530 1.896180 1
0.039161 1.887200 1
4.522555 2.521661 1
2.231931 2.019085 1
0.599579 1.889979 1
5.615362 2.294756 1
4.003779 2.530956 1
1.743002 1.882865 1
6.238072 1.916075 1
4.374810 2.510657 1
1.891224 1.892471 1
0.020095 1.888879 1
4.466327 2.515850 1
2.081476 1.961318 1
0.356675 1.882850 1
5.283630 2.443986 1
3.714825 2.501493 1
1.634636 1.881676 1
6.201347 1.937926 1
4.353623 2.513168 1
1.878335 1.889985 1
0.007167 1.890841 1
4.431464 2.511907 1
1.991172 1.927195 1
0.194916 1.881910 1
4.950166 2.520193 1
3.245643 2.388249 1
1.438419 1.885022 1
6.130229 1.981579 1
4.314764 2.517993 1
1.860807 1.888028 1
6.279760 1.893855 1
4.409653 2.509718 1
1.938998 1.907904 1
0.098797 1.884089 1
4.697149 2.531868 1
2.692956 2.196274 1
1.106621 1.895537 1
5.984528 2.073226 1
4.234643 2.526009 1
1.829263 1.885998 1
6.267239 1.899620 1
4.394822 2.509167 1
1.911290 1.898181 1
0.049389 1.886423 1
4.552626 2.524288 1
2.312817 2.050355 1
0.713328 1.893602 1
5.724711 2.233013 1
4.078503 2.532287 1
1.770684 1.883617 1
6.247281 1.910706 1
4.380382 2.510049 1
1.895279 1.893409 1
0.024927 1.888310 1
4.480013 2.517330 1
2.117622 1.975110 1
0.418429 1.884255 1
5.384086 2.405996 1
3.815337 2.515878 1
1.672809 1.881797 1
6.214442 1.930070 1
4.361059 2.512270 1
1.882541 1.890722 1
0.011024 1.890179 1
4.441542 2.513067 1
2.016958 1.936882 1
0.242023 1.881680 1
5.058894 2.503597 1
3.427007 2.439719 1
1.519200 1.882993 1
6.160505 1.962882 1
4.331396 2.516035 1
1.868358 1.888883 1
0.001251 1.892554 1
4.419475 2.510743 1
1.962543 1.916593 1
0.142452 1.882812 1
4.817291 2.530687 1
2.977985 2.300159 1
1.299417 1.889667 1
6.074204 2.016662 1
4.284451 2.521451 1
1.849005 1.887304 1
6.275423 1.896011 1
4.405372 2.509708 1
1.931980 1.905509 1
0.086705 1.884636 1
4.662880 2.530932 1
2.605683 2.163226 1
1.033517 1.896846 1
5.945729 2.097730 1
4.212812 2.527681 1
1.821267 1.885713 1
6.265003 1.901127 1
4.394611 2.509557 1
1.913748 1.899255 1
0.054897 1.886246 1
4.569792 2.525701 1
2.359425 2.068421 1
0.773581 1.895204 1
5.774611 2.203449 1
4.110555 2.532035 1
1.782780 1.884084 1
6.251669 1.908394 1
4.384268 2.510010 1
1.900930 1.895260 1
0.034452 1.887664 1
4.509070 2.520399 1
2.195882 2.005192 1
0.545041 1.888146 1
5.554245 2.327008 1
3.958623 2.528845 1
1.726322 1.882525 1
6.232598 1.919352 1
4.371881 2.511092 1
